Date,Open,High,Low,Close,Adj Close,Volume
2016-02-24,117.000000,119.000000,115.849998,117.610001,110.938934,2307100
2016-02-25,126.900002,133.919998,124.480003,132.899994,125.361641,4701300
2016-02-26,133.029999,135.279999,132.509995,134.389999,126.767120,2031100
2016-02-29,133.580002,135.429993,131.000000,133.039993,125.493690,1788700
2016-03-01,133.759995,134.970001,131.649994,134.149994,126.540741,1544800
2016-03-02,133.389999,133.750000,131.759995,133.059998,125.512604,1112900
2016-03-03,132.149994,133.240005,130.509995,132.839996,125.305077,1109300
2016-03-04,132.910004,133.960007,131.990005,132.990005,125.446579,1488000
2016-03-07,132.460007,134.559998,131.830002,134.020004,126.418114,994400
2016-03-08,133.139999,135.990005,133.059998,134.240005,126.625633,800400
2016-03-09,134.559998,136.330002,133.360001,133.779999,126.191734,840800
2016-03-10,134.580002,135.470001,131.490005,133.009995,125.465363,738600
2016-03-11,133.580002,133.800003,131.509995,131.720001,124.604561,972500
2016-03-14,131.990005,132.839996,131.169998,132.649994,125.484337,703500
2016-03-15,131.610001,132.639999,131.169998,131.199997,124.112633,601900
2016-03-16,130.809998,132.289993,130.610001,131.850006,124.727539,519500
2016-03-17,131.539993,131.990005,130.940002,131.270004,124.178886,383100
2016-03-18,130.929993,132.089996,130.160004,130.809998,123.743706,1129900
2016-03-21,131.000000,131.660004,130.910004,131.169998,124.084251,739200
2016-03-22,131.580002,131.979996,130.300003,130.729996,123.668022,584300
2016-03-23,131.059998,131.509995,130.000000,130.119995,123.090988,627500
2016-03-24,129.850006,129.850006,128.419998,128.740005,121.785561,691500
2016-03-28,129.380005,130.130005,128.529999,129.149994,122.173363,465200
2016-03-29,129.250000,130.160004,128.690002,130.089996,123.062630,643800
2016-03-30,130.779999,131.339996,130.000000,130.970001,123.895073,712900
2016-03-31,130.830002,132.169998,129.800003,131.860001,124.737030,885500
2016-04-01,131.490005,134.100006,131.240005,133.470001,126.260056,676900
2016-04-04,133.850006,134.389999,132.699997,133.360001,126.155975,583000
2016-04-05,131.970001,133.279999,131.199997,132.320007,125.172150,623500
2016-04-06,132.679993,136.080002,132.419998,135.940002,128.596634,964100
2016-04-07,135.270004,137.610001,135.270004,136.259995,128.899292,841600
2016-04-08,137.000000,137.710007,135.690002,137.050003,129.646667,559800
2016-04-11,137.940002,139.419998,137.119995,137.240005,129.826385,635900
2016-04-12,136.460007,137.089996,135.300003,136.740005,129.353378,589000
2016-04-13,136.919998,137.669998,136.220001,137.139999,129.731766,517700
2016-04-14,137.550003,137.940002,136.369995,137.270004,129.854767,404300
2016-04-15,137.419998,138.649994,136.699997,138.619995,131.131790,366500
2016-04-18,138.119995,139.039993,137.699997,138.649994,131.160187,269800
2016-04-19,138.490005,138.800003,136.789993,137.520004,130.091263,333800
2016-04-20,137.990005,140.800003,137.789993,140.009995,132.446762,776600
2016-04-21,140.369995,140.479996,137.850006,137.899994,130.450684,550400
2016-04-22,135.339996,136.160004,131.729996,132.410004,125.257286,1475100
2016-04-25,132.479996,134.130005,132.449997,133.669998,126.449226,724000
2016-04-26,134.000000,134.750000,132.979996,133.809998,126.581688,786500
2016-04-27,133.850006,134.520004,131.630005,133.630005,126.411400,1233800
2016-04-28,121.029999,124.889999,120.080002,120.470001,113.962296,4550500
2016-04-29,121.059998,121.500000,119.019997,120.879997,114.350136,1495400
2016-05-02,120.919998,121.650002,119.120003,120.370003,113.867683,1359000
2016-05-03,119.940002,120.040001,118.080002,118.559998,112.155441,1123700
2016-05-04,117.690002,119.750000,116.910004,119.019997,112.590599,861300
2016-05-05,119.110001,120.449997,117.720001,119.930000,113.451447,1066300
2016-05-06,119.290001,120.239998,117.599998,119.309998,112.864922,661900
2016-05-09,119.230003,122.339996,119.230003,121.510002,114.946098,620300
2016-05-10,121.750000,122.470001,120.510002,122.220001,115.617760,650200
2016-05-11,121.940002,122.050003,119.349998,119.830002,113.356857,575600
2016-05-12,120.400002,122.000000,120.099998,121.459999,114.898819,579800
2016-05-13,121.029999,123.680000,120.709999,121.949997,115.362320,1023500
2016-05-16,122.260002,123.430000,121.379997,123.169998,116.516434,796300
2016-05-17,122.449997,122.809998,120.599998,121.070000,114.529877,594500
2016-05-18,120.699997,122.419998,118.820000,121.129997,114.586617,803400
2016-05-19,119.989998,121.970001,119.940002,120.820000,114.293381,537900
2016-05-20,121.410004,123.160004,121.410004,123.059998,116.412369,776100
2016-05-23,123.000000,123.320000,121.800003,121.879997,115.296127,1134900
2016-05-24,121.940002,123.290001,121.830002,122.519997,115.901550,1313900
2016-05-25,123.389999,123.489998,121.110001,121.290001,114.737991,932500
2016-05-26,121.290001,123.180000,121.120003,123.000000,116.355606,998300
2016-05-27,123.430000,123.489998,121.970001,122.180000,115.579910,596500
2016-05-31,122.480003,123.120003,120.589996,120.879997,114.350136,3110400
2016-06-01,120.599998,121.870003,120.349998,121.400002,114.842049,1108500
2016-06-02,121.110001,123.250000,120.790001,123.250000,116.592110,694600
2016-06-03,123.070000,123.070000,121.230003,122.209999,115.608284,550000
2016-06-06,122.029999,124.690002,121.800003,124.360001,117.642166,601400
2016-06-07,124.330002,125.139999,123.449997,124.820000,118.077316,720600
2016-06-08,124.709999,126.410004,124.360001,126.389999,119.562485,904000
2016-06-09,126.000000,127.580002,126.000000,127.480003,120.593613,548500
2016-06-10,126.650002,127.080002,125.730003,126.250000,119.430046,541700
2016-06-13,125.190002,126.230003,124.690002,124.790001,118.405312,501500
2016-06-14,124.339996,126.629997,123.839996,126.360001,119.894981,626800
2016-06-15,126.580002,127.519997,126.080002,126.379997,119.913963,454800
2016-06-16,125.379997,127.309998,124.470001,126.949997,120.454773,509500
2016-06-17,126.589996,127.720001,126.019997,127.290001,120.777420,739500
2016-06-20,128.440002,128.830002,127.080002,127.489998,120.967155,506100
2016-06-21,127.709999,127.919998,127.080002,127.330002,120.815361,497400
2016-06-22,126.050003,126.480003,124.480003,125.320000,118.908188,778800
2016-06-23,126.389999,127.669998,125.540001,127.250000,120.739441,499000
2016-06-24,125.339996,128.089996,124.660004,124.970001,118.576118,852700
2016-06-27,124.000000,124.610001,120.970001,122.080002,115.833977,1114400
2016-06-28,123.160004,124.570000,122.349998,124.529999,118.158600,538000
2016-06-29,125.180000,126.949997,125.180000,126.879997,120.388367,589200
2016-06-30,127.660004,131.669998,127.660004,131.380005,124.658150,1595000
2016-07-01,131.449997,132.770004,130.960007,132.589996,125.806213,638200
2016-07-05,132.589996,133.949997,131.860001,133.929993,127.077690,807000
2016-07-06,132.910004,135.229996,132.869995,134.979996,128.073929,897900
2016-07-07,135.160004,135.350006,132.500000,133.860001,127.011238,691400
2016-07-08,134.440002,137.020004,134.149994,135.110001,128.197311,546200
2016-07-11,135.589996,136.149994,134.220001,136.000000,129.041748,950500
2016-07-12,136.039993,136.470001,135.500000,135.649994,128.709671,641300
2016-07-13,135.240005,136.369995,135.000000,135.419998,128.491440,582200
2016-07-14,136.320007,136.660004,135.220001,135.639999,128.700195,506400
2016-07-15,135.880005,136.270004,134.919998,135.699997,128.757111,666600
2016-07-18,135.970001,136.179993,134.779999,135.550003,128.614792,555600
2016-07-19,135.929993,136.179993,135.089996,135.550003,128.614792,743900
2016-07-20,136.300003,137.869995,135.800003,136.889999,129.886215,1332600
2016-07-21,144.940002,146.729996,142.059998,144.660004,137.258698,3245600
2016-07-22,145.279999,148.990005,145.130005,148.779999,141.167892,1213100
2016-07-25,148.130005,149.130005,147.300003,147.690002,140.133667,1047400
2016-07-26,146.850006,147.880005,145.669998,146.130005,138.653488,1048200
2016-07-27,146.419998,147.300003,145.419998,147.229996,139.697205,571800
